('2462', '1', '15,11,12,3,10', '16,28,20,30,24', '39,40,0,35,37', '59,51,56,60,53', '66,68,67,72,64', '2025-03-13 18:05:28', 'Awura'),
('2463', '2', '5,15,10,2,6', '21,20,28,26,27', '35,42,0,31,33', '46,51,47,49,52', '69,70,67,64,65', '2025-03-13 18:05:28', 'Awura'),
('2464', '13', '11,1,4,9,14', '16,26,29,28,23', '45,44,0,31,40', '60,55,47,51,59', '73,69,72,64,68', '2025-03-13 18:05:28', 'Awura'),
('2465', '15', '5,1,2,3,12', '30,22,18,29,17', '38,42,0,33,32', '48,60,50,46,55', '71,62,65,75,66', '2025-03-13 18:05:28', 'Awura'),
('2466', '57', '5,12,14,15,11', '28,21,16,25,17', '40,36,0,44,45', '56,53,60,58,54', '63,73,68,66,64', '2025-03-13 18:05:28', 'Awura'),
('2467', '55', '12,8,15,7,14', '24,16,19,25,20', '45,42,0,39,32', '51,53,59,56,48', '65,62,64,70,74', '2025-03-13 18:05:28', 'Awura'),
('2468', '16', '7,3,12,4,13', '23,27,21,24,17', '45,42,0,41,44', '55,60,57,49,50', '62,71,66,68,75', '2025-03-13 18:05:28', 'Awura'),
('2469', '56', '13,3,15,12,4', '17,30,28,20,24', '44,45,0,33,43', '53,56,55,50,52', '68,66,73,70,67', '2025-03-13 18:05:28', 'Awura'),
('2470', '14', '5,1,7,2,10', '18,27,28,21,24', '45,42,0,43,32', '58,50,54,60,51', '67,65,64,74,71', '2025-03-13 18:05:28', 'Awura'),
('2471', '58', '1,3,9,10,13', '16,28,24,20,19', '32,44,0,37,39', '58,60,49,47,46', '74,67,64,71,61', '2025-03-13 18:05:28', 'Awura'),
('2472', '59', '7,2,3,12,5', '20,24,29,18,17', '34,43,0,45,33', '47,55,46,49,57', '70,73,62,69,64', '2025-03-13 18:05:28', 'Awura'),
('2473', '60', '14,9,1,13,6', '25,17,30,28,22', '41,34,0,38,40', '48,51,60,49,54', '75,62,65,73,61', '2025-03-13 18:05:28', 'Awura'),
('2474', '29', '14,15,10,2,1', '16,21,26,19,25', '32,34,0,45,40', '53,59,55,56,51', '74,65,66,61,64', '2025-03-13 18:05:28', 'Awura'),
('2475', '25', '3,1,4,14,9', '23,27,28,29,30', '40,45,0,35,41', '53,51,46,56,52', '75,68,73,61,74', '2025-03-13 18:05:28', 'Awura'),
('2476', '61', '11,5,14,7,9', '26,25,16,18,28', '38,37,0,43,41', '60,52,59,54,46', '71,65,62,64,74', '2025-03-13 18:05:28', 'Awura'),
('2477', '64', '15,1,14,2,4', '24,22,21,29,23', '38,44,0,31,41', '58,60,48,47,56', '64,73,67,68,61', '2025-03-13 18:05:28', 'Awura'),
('2478', '28', '8,2,14,9,15', '17,24,16,21,18', '42,39,0,31,35', '52,56,60,47,54', '74,63,62,72,70', '2025-03-13 18:05:28', 'Awura'),
('2479', '27', '11,3,10,7,13', '26,28,24,18,30', '39,33,0,45,44', '51,56,58,53,47', '75,67,74,69,64', '2025-03-13 18:05:28', 'Awura'),
('2480', '30', '8,11,9,6,13', '27,26,19,23,22', '44,31,0,41,40', '54,55,57,49,56', '70,64,67,62,72', '2025-03-13 18:05:28', 'Awura'),
('2481', '63', '12,1,15,5,4', '21,29,22,28,17', '35,38,0,33,37', '49,55,51,50,60', '62,74,64,65,72', '2025-03-13 18:05:28', 'Awura'),
('2482', '26', '10,14,2,6,3', '25,29,28,22,18', '37,38,0,35,45', '53,58,56,57,60', '65,69,68,70,67', '2025-03-13 18:05:28', 'Awura'),
('2483', '62', '13,8,11,6,2', '26,27,18,21,20', '31,43,0,36,42', '56,59,53,48,55', '68,70,73,72,69', '2025-03-13 18:05:28', 'Awura'),
('2484', '32', '10,15,9,5,14', '20,28,24,25,23', '32,34,0,37,31', '58,56,50,46,51', '73,61,75,67,65', '2025-03-13 18:05:29', 'Awura'),
('2485', '17', '10,3,13,2,7', '28,27,24,21,25', '32,40,0,41,42', '59,47,57,60,58', '72,63,71,68,65', '2025-03-13 18:05:29', 'Awura'),
('2486', '31', '3,9,5,12,4', '27,24,17,18,25', '31,40,0,38,36', '46,48,55,58,54', '71,67,62,68,73', '2025-03-13 18:05:29', 'Awura'),
('2487', '18', '13,7,10,8,14', '27,22,25,16,23', '33,42,0,43,38', '51,48,54,52,60', '63,61,65,72,74', '2025-03-13 18:05:29', 'Awura'),
('2488', '33', '7,15,1,4,8', '29,27,18,16,21', '42,40,0,38,39', '56,60,51,57,59', '69,64,74,67,68', '2025-03-13 18:05:29', 'Awura'),
('2489', '23', '1,4,7,9,11', '27,17,16,23,21', '40,33,0,36,34', '54,46,48,56,50', '73,68,63,66,74', '2025-03-13 18:05:29', 'Awura'),
('2490', '34', '4,8,9,11,3', '17,29,24,27,22', '31,37,0,34,36', '46,57,59,55,48', '70,65,75,63,73', '2025-03-13 18:05:29', 'Awura'),
('2491', '21', '8,2,13,15,6', '18,30,29,27,17', '39,37,0,31,45', '54,57,56,49,52', '63,75,68,67,61', '2025-03-13 18:05:29', 'Awura'),
('2492', '22', '6,13,9,3,8', '26,19,25,20,27', '44,32,0,40,31', '55,60,49,46,56', '62,61,75,65,71', '2025-03-13 18:05:29', 'Awura'),
('2493', '19', '1,15,3,8,4', '22,25,23,26,28', '39,35,0,44,38', '51,47,50,49,53', '62,75,66,70,67', '2025-03-13 18:05:29', 'Awura'),
('2494', '20', '9,8,4,11,1', '19,23,24,17,26', '35,43,0,32,38', '54,57,58,50,49', '73,61,68,62,75', '2025-03-13 18:05:29', 'Awura'),
('2495', '24', '9,8,1,7,12', '19,26,24,20,27', '40,31,0,39,43', '46,48,59,49,57', '75,67,65,70,73', '2025-03-13 18:05:29', 'Awura'),
('2496', '36', '2,13,15,4,10', '22,21,30,26,29', '41,45,0,39,34', '54,51,47,50,58', '62,70,63,75,64', '2025-03-13 18:05:29', 'Awura'),
('2497', '35', '9,14,11,8,4', '17,24,18,21,27', '35,45,0,36,37', '55,52,48,47,57', '72,68,66,71,70', '2025-03-13 18:05:29', 'Awura'),
('2498', '41', '5,10,9,14,6', '18,21,28,25,20', '31,43,0,40,35', '52,56,59,48,47', '62,66,69,67,71', '2025-03-13 18:05:29', 'Awura'),
('2499', '37', '1,5,2,12,15', '21,28,26,24,17', '32,42,0,34,43', '54,51,60,59,57', '65,63,61,62,72', '2025-03-13 18:05:29', 'Awura'),
('2500', '8', '7,13,9,4,2', '20,19,21,18,27', '32,36,0,38,45', '47,53,57,59,51', '61,67,66,68,69', '2025-03-13 18:05:29', 'Awura'),
('2501', '40', '14,10,7,15,6', '17,28,16,24,29', '34,43,0,41,36', '54,55,58,59,57', '63,70,71,69,64', '2025-03-13 18:05:29', 'Awura'),
('2502', '39', '10,14,1,11,13', '27,16,25,26,28', '35,37,0,41,42', '51,53,48,58,47', '61,72,69,70,68', '2025-03-13 18:05:29', 'Awura'),
('2503', '81', '3,5,14,9,2', '23,16,19,20,25', '45,41,0,44,38', '49,50,47,51,52', '66,62,72,73,64', '2025-03-13 18:05:29', 'Awura'),
('2504', '38', '1,9,7,12,11', '30,24,20,17,18', '45,42,0,36,35', '49,56,52,60,54', '66,69,74,62,63', '2025-03-13 18:05:29', 'Awura'),
('2505', '43', '15,6,13,8,7', '18,19,16,27,29', '44,31,0,35,38', '54,56,60,55,57', '69,64,70,66,72', '2025-03-13 18:05:29', 'Awura'),
('2506', '44', '11,4,14,8,7', '28,26,16,25,22', '35,45,0,33,44', '47,48,54,52,57', '72,73,71,61,68', '2025-03-13 18:05:29', 'Awura'),
('2507', '42', '11,10,15,13,2', '20,25,17,21,23', '43,33,0,42,35', '49,58,50,52,51', '75,74,67,71,64', '2025-03-13 18:05:29', 'Awura'),
('2508', '7', '15,10,3,9,14', '28,19,17,16,24', '39,34,0,45,36', '58,54,59,51,49', '65,68,71,66,64', '2025-03-13 18:05:29', 'Awura'),
('2509', '3', '14,13,3,6,10', '23,25,28,30,16', '40,32,0,44,37', '58,46,50,54,53', '62,65,63,66,74', '2025-03-13 18:05:29', 'Awura'),
('2510', '4', '1,5,6,14,2', '19,26,29,25,24', '41,36,0,42,45', '49,50,60,47,54', '72,69,61,71,65', '2025-03-13 18:05:29', 'Awura'),
('2511', '5', '2,4,9,1,14', '16,23,17,26,20', '43,32,0,34,31', '47,58,51,59,57', '70,73,74,75,72', '2025-03-13 18:05:29', 'Awura'),
('2512', '45', '9,6,7,11,8', '27,20,19,22,17', '39,38,0,35,45', '48,51,55,46,47', '70,63,68,74,69', '2025-03-13 18:05:29', 'Awura'),
('2513', '12', '9,1,6,12,2', '20,26,16,22,18', '35,43,0,41,38', '59,56,58,49,51', '66,72,64,61,69', '2025-03-13 18:05:29', 'Awura'),
('2514', '6', '3,15,14,6,11', '28,18,20,21,30', '42,36,0,45,41', '46,53,55,57,60', '70,64,67,73,62', '2025-03-13 18:05:29', 'Awura'),
('2515', '11', '11,4,2,14,5', '21,28,26,29,24', '44,34,0,41,31', '49,55,47,48,51', '64,62,71,73,63', '2025-03-13 18:05:29', 'Awura'),
('2516', '10', '1,13,6,7,2', '20,18,27,23,29', '34,40,0,37,44', '58,59,52,48,57', '75,69,67,70,73', '2025-03-13 18:05:29', 'Awura'),
('2517', '46', '5,15,11,4,2', '17,18,21,23,25', '43,42,0,39,33', '47,48,56,54,49', '74,63,64,66,65', '2025-03-13 18:05:29', 'Awura'),
('2518', '48', '4,2,7,14,6', '28,19,16,26,18', '37,31,0,39,32', '53,49,56,52,57', '61,62,64,74,67', '2025-03-13 18:05:29', 'Awura'),
('2519', '47', '5,6,12,1,4', '17,20,25,16,26', '38,43,0,45,35', '46,51,56,60,53', '70,75,61,68,74', '2025-03-13 18:05:29', 'Awura'),
('2520', '49', '1,3,10,8,6', '21,29,24,26,19', '34,41,0,35,31', '52,54,57,53,58', '67,69,70,72,64', '2025-03-13 18:05:29', 'Awura'),
('2521', '9', '5,2,1,9,13', '26,18,29,22,17', '33,39,0,44,42', '56,54,58,57,55', '75,62,72,68,67', '2025-03-13 18:05:29', 'Awura'),
('2522', '50', '3,10,14,2,15', '17,30,27,19,18', '36,40,0,41,42', '49,52,58,59,47', '69,62,66,68,64', '2025-03-13 18:05:29', 'Awura'),
('2523', '51', '2,12,10,9,14', '21,20,27,16,19', '31,45,0,40,39', '49,54,48,46,57', '68,69,75,61,62', '2025-03-13 18:05:29', 'Awura'),
('2524', '79', '4,13,11,3,8', '26,17,29,16,18', '39,40,0,44,45', '57,58,54,53,46', '72,61,69,65,62', '2025-03-13 18:05:29', 'Awura'),
('2525', '54', '1,6,4,15,7', '26,18,24,29,25', '34,35,0,32,45', '60,52,50,48,53', '61,66,69,63,72', '2025-03-13 18:05:29', 'Awura'),
('2526', '53', '15,5,8,7,11', '30,21,25,23,29', '35,45,0,40,42', '59,51,46,58,54', '69,71,67,74,72', '2025-03-13 18:05:29', 'Awura'),
('2527', '52', '10,2,11,15,14', '22,21,26,23,18', '36,44,0,40,31', '59,55,48,57,58', '74,70,72,75,66', '2025-03-13 18:05:29', 'Awura'),
('2528', '80', '8,4,1,5,2', '23,27,19,30,17', '39,37,0,31,32', '57,56,51,47,48', '73,66,65,63,67', '2025-03-13 18:05:29', 'Awura'),
('2529', '66', '1,2,14,3,4', '20,27,21,28,24', '34,33,0,42,37', '54,51,58,46,55', '67,63,73,70,64', '2025-03-13 18:05:29', 'Awura'),
('2530', '65', '6,10,7,9,2', '18,28,19,20,30', '35,32,0,39,33', '57,52,48,49,59', '64,62,63,68,65', '2025-03-13 18:05:29', 'Awura'),
('2531', '67', '13,14,5,12,8', '28,22,26,24,17', '38,44,0,34,40', '58,51,56,53,52', '71,73,61,72,62', '2025-03-13 18:05:29', 'Awura'),
('2532', '68', '14,7,9,13,15', '25,28,19,22,18', '41,38,0,33,44', '55,59,53,56,57', '66,65,61,68,63', '2025-03-13 18:05:29', 'Awura'),
('2533', '69', '10,6,2,15,8', '16,28,17,29,27', '35,40,0,36,39', '55,46,59,47,51', '65,70,73,75,62', '2025-03-13 18:05:29', 'Awura'),
('2534', '71', '6,4,2,7,12', '25,22,28,17,19', '31,43,0,41,45', '49,53,57,54,46', '72,61,69,63,65', '2025-03-13 18:05:29', 'Awura'),
('2535', '70', '15,9,12,6,4', '30,18,17,21,23', '36,32,0,43,38', '50,59,58,46,48', '70,65,75,62,69', '2025-03-13 18:05:29', 'Awura'),
('2536', '73', '6,2,15,13,7', '28,23,30,21,27', '37,43,0,34,35', '48,57,54,60,46', '72,61,66,65,63', '2025-03-13 18:05:29', 'Awura'),
('2537', '72', '8,5,6,10,2', '18,20,27,19,17', '40,35,0,42,45', '46,47,49,55,58', '64,71,73,65,75', '2025-03-13 18:05:29', 'Awura'),
('2538', '74', '10,14,3,7,9', '24,21,17,18,26', '45,36,0,41,44', '51,53,49,48,54', '72,67,62,66,63', '2025-03-13 18:05:29', 'Awura'),
('2539', '75', '6,7,4,3,14', '17,20,29,23,24', '44,37,0,41,40', '59,46,50,49,52', '75,69,63,71,72', '2025-03-13 18:05:29', 'Awura'),
('2540', '76', '4,10,6,8,2', '19,24,23,18,27', '39,31,0,35,41', '48,60,51,50,47', '62,70,66,73,61', '2025-03-13 18:05:29', 'Awura'),
('2541', '78', '15,11,1,8,13', '27,17,30,24,22', '37,34,0,39,38', '47,58,46,50,57', '67,70,68,62,66', '2025-03-13 18:05:29', 'Awura'),
('2542', '77', '1,7,15,14,13', '18,27,25,21,17', '34,35,0,38,40', '60,56,55,53,58', '74,61,68,64,75', '2025-03-13 18:05:29', 'Awura'),
('2543', '88', '13,14,12,15,7', '19,18,23,29,27', '43,42,0,44,40', '55,48,58,52,57', '64,63,75,65,73', '2025-03-13 18:05:29', 'Awura'),
('2544', '83', '1,3,9,10,2', '16,20,28,26,25', '31,34,0,38,36', '53,57,49,54,47', '67,73,63,70,61', '2025-03-13 18:05:29', 'Awura'),
('2545', '86', '4,13,15,2,9', '21,27,26,25,28', '37,44,0,33,42', '54,57,46,58,48', '67,61,71,70,68', '2025-03-13 18:05:29', 'Awura'),
('2546', '96', '2,14,11,13,4', '18,27,21,19,16', '34,45,0,33,41', '54,57,56,48,53', '74,64,62,61,72', '2025-03-13 18:05:29', 'Awura'),
('2547', '82', '14,8,1,7,2', '16,17,25,20,18', '36,31,0,33,41', '54,59,55,47,58', '63,64,72,66,61', '2025-03-13 18:05:29', 'Awura'),
('2548', '85', '13,1,14,3,4', '28,30,17,16,29', '31,34,0,36,40', '51,59,50,56,47', '62,66,64,71,61', '2025-03-13 18:05:29', 'Awura'),
('2549', '87', '2,1,15,14,8', '25,17,29,20,22', '35,43,0,33,34', '46,49,59,58,48', '66,63,72,62,73', '2025-03-13 18:05:29', 'Awura'),
('2550', '90', '13,3,5,12,1', '26,20,17,22,24', '44,38,0,32,36', '48,58,46,56,54', '69,70,72,62,63', '2025-03-13 18:05:29', 'Awura'),
('2551', '91', '5,1,10,8,6', '29,25,30,17,28', '41,31,0,34,32', '59,46,57,55,47', '72,63,71,75,74', '2025-03-13 18:05:29', 'Awura'),
('2552', '92', '5,9,14,13,1', '18,27,24,28,30', '37,38,0,41,45', '59,57,52,56,46', '63,70,66,71,72', '2025-03-13 18:05:29', 'Awura'),
('2553', '84', '11,12,13,10,5', '29,19,28,24,22', '32,41,0,39,38', '59,60,56,46,58', '64,67,62,75,74', '2025-03-13 18:05:29', 'Awura'),
('2554', '93', '14,15,13,7,8', '21,18,16,23,20', '33,40,0,34,31', '46,53,51,48,47', '65,71,63,75,74', '2025-03-13 18:05:29', 'Awura'),
('2555', '94', '1,8,7,5,2', '19,22,30,25,17', '39,40,0,41,38', '58,53,50,46,56', '67,62,65,72,64', '2025-03-13 18:05:29', 'Awura'),
('2556', '95', '4,6,5,12,9', '19,24,16,29,30', '37,43,0,41,39', '52,60,56,51,58', '70,65,75,67,61', '2025-03-13 18:05:29', 'Awura'),
('2557', '99', '7,12,3,10,11', '30,19,23,25,29', '45,35,0,36,32', '49,55,53,50,51', '66,62,67,65,74', '2025-03-13 18:05:29', 'Awura'),
('2558', '89', '2,5,14,10,7', '16,26,17,24,22', '44,40,0,33,38', '58,56,54,57,60', '75,65,61,72,69', '2025-03-13 18:05:29', 'Awura'),
('2559', '97', '2,12,9,6,15', '29,30,21,27,23', '45,42,0,40,34', '47,60,58,48,57', '66,74,61,62,65', '2025-03-13 18:05:29', 'Awura'),
('2560', '98', '13,15,9,8,2', '24,20,19,28,27', '40,45,0,43,38', '57,50,60,56,47', '68,64,67,70,65', '2025-03-13 18:05:29', 'Awura'),
('2561', '100', '15,10,8,11,4', '27,29,23,25,24', '31,37,0,43,38', '54,50,57,58,46', '73,69,75,68,74', '2025-03-13 18:05:29', 'Awura'),
('2562', '1', '13,9,4,3,2', '28,26,17,16,21', '39,37,0,45,40', '60,48,59,47,58', '69,74,68,70,65', '2025-03-29 18:38:19', 'Dalloo'),
('2563', '3', '14,2,1,4,10', '21,23,30,22,27', '40,37,0,35,41', '47,58,49,48,46', '61,74,67,65,63', '2025-03-29 18:38:19', 'Dalloo'),
('2564', '11', '3,5,9,6,10', '28,23,16,18,22', '32,35,0,37,39', '53,56,48,57,47', '75,71,67,73,68', '2025-03-29 18:38:19', 'Dalloo'),
('2565', '12', '13,7,11,4,8', '25,24,30,16,19', '42,34,0,33,40', '52,46,56,57,59', '64,71,63,68,72', '2025-03-29 18:38:19', 'Dalloo'),
('2566', '13', '3,15,1,2,12', '27,26,17,30,18', '45,31,0,43,32', '47,57,59,55,46', '74,61,71,69,75', '2025-03-29 18:38:19', 'Dalloo'),
('2567', '15', '3,8,2,4,9', '28,23,26,24,27', '35,45,0,32,38', '50,47,56,54,46', '71,72,73,63,75', '2025-03-29 18:38:19', 'Dalloo'),
('2568', '14', '7,10,3,15,14', '26,21,16,25,27', '40,37,0,39,34', '48,60,55,57,50', '73,68,66,64,72', '2025-03-29 18:38:19', 'Dalloo'),
('2569', '16', '8,10,9,4,15', '23,20,19,26,18', '35,34,0,42,32', '60,46,54,49,53', '63,69,61,64,65', '2025-03-29 18:38:19', 'Dalloo'),
('2570', '18', '11,5,9,14,7', '23,22,21,28,20', '45,44,0,32,38', '47,57,58,51,55', '72,63,71,65,66', '2025-03-29 18:38:19', 'Dalloo'),
('2571', '17', '3,10,7,13,1', '19,20,29,26,22', '35,33,0,41,43', '46,60,57,51,58', '66,64,73,74,67', '2025-03-29 18:38:19', 'Dalloo'),
('2572', '20', '5,4,12,1,14', '22,28,23,30,17', '45,39,0,34,40', '60,54,50,53,52', '71,70,69,62,64', '2025-03-29 18:38:19', 'Dalloo'),
('2573', '19', '13,6,2,10,5', '21,30,24,26,27', '32,31,0,35,39', '46,48,50,55,49', '75,68,65,62,66', '2025-03-29 18:38:19', 'Dalloo'),
('2574', '25', '9,2,14,13,6', '22,19,16,28,26', '36,39,0,37,34', '50,60,56,47,58', '64,72,73,61,71', '2025-03-29 18:38:19', 'Dalloo'),
('2575', '8', '11,5,1,2,3', '17,23,18,20,16', '42,43,0,39,31', '47,53,57,50,55', '65,63,73,68,75', '2025-03-29 18:38:19', 'Dalloo'),
('2576', '33', '2,6,5,9,7', '19,30,21,25,28', '38,43,0,36,42', '47,60,57,46,48', '61,74,75,67,63', '2025-03-29 18:38:19', 'Dalloo'),
('2577', '27', '11,3,2,10,6', '16,23,17,24,25', '35,31,0,34,39', '54,59,47,56,53', '65,74,63,66,61', '2025-03-29 18:38:19', 'Dalloo'),
('2578', '31', '6,4,7,10,15', '29,24,26,17,19', '39,41,0,40,37', '56,48,47,59,60', '61,73,72,62,63', '2025-03-29 18:38:19', 'Dalloo'),
('2579', '35', '14,8,9,7,6', '21,19,24,29,22', '43,39,0,32,36', '57,53,49,59,46', '62,73,64,74,75', '2025-03-29 18:38:19', 'Dalloo'),
('2580', '22', '8,12,4,14,9', '24,29,30,22,16', '39,36,0,34,32', '60,58,50,59,47', '71,74,70,62,68', '2025-03-29 18:38:19', 'Dalloo'),
